escritorio,cultura,area_ha,producao_t
ALEXANDRE GUSMÃO,Abacate,23.08,18.0
ALEXANDRE GUSMÃO,Alface,24.25,9.51
ALEXANDRE GUSMÃO,Atemóia,42.37,2.3
ALEXANDRE GUSMÃO,Banana,9.5,6.83
ALEXANDRE GUSMÃO,Chuchu,32.99,14.52
ALEXANDRE GUSMÃO,Couve,35.66,9.39
ALEXANDRE GUSMÃO,Goiaba,42.2,38.56
ALEXANDRE GUSMÃO,Graviola,57.14,0.59
ALEXANDRE GUSMÃO,Limão,13.15,12.04
ALEXANDRE GUSMÃO,Mandioca,18.29,6.17
ALEXANDRE GUSMÃO,Manga,13.67,1.66
ALEXANDRE GUSMÃO,Maracujá,12.19,10.26
ALEXANDRE GUSMÃO,Pimentão,14.73,4.13
ALEXANDRE GUSMÃO,Repolho,24.68,8.87
ALEXANDRE GUSMÃO,Tangerina,21.44,6.96
ALEXANDRE GUSMÃO,Tomate,14.62,11.67
ALEXANDRE GUSMÃO,Uva,4.16,0.77
BRAZLÂNDIA,Abacate,19.45,18.6
BRAZLÂNDIA,Alface,8.87,5.95
BRAZLÂNDIA,Atemóia,51.78,1.68
BRAZLÂNDIA,Banana,4.35,3.61
BRAZLÂNDIA,Cajamanga,52.99,0.23
BRAZLÂNDIA,Chuchu,27.72,13.09
BRAZLÂNDIA,Couve,9.43,3.24
BRAZLÂNDIA,Goiaba,53.62,57.58
BRAZLÂNDIA,Limão,9.3,9.48
BRAZLÂNDIA,Mandioca,6.88,4.08
BRAZLÂNDIA,Manga,4.4,0.6
BRAZLÂNDIA,Maracujá,3.94,1.38
BRAZLÂNDIA,Morango,76.51,17.36
BRAZLÂNDIA,Pimentão,15.89,6.18
BRAZLÂNDIA,Repolho,23.53,10.6
BRAZLÂNDIA,Tangerina,11.42,5.63
BRAZLÂNDIA,Tomate,8.66,10.33
BRAZLÂNDIA,Uva,3.29,0.24
CEILÂNDIA,Abacate,3.61,9.77
CEILÂNDIA,Alface,24.1,12.04
CEILÂNDIA,Banana,12.33,29.03
CEILÂNDIA,Chuchu,29.16,17.64
CEILÂNDIA,Coco,19.69,0.39
CEILÂNDIA,Couve,22.59,7.41
CEILÂNDIA,Goiaba,0.37,1.44
CEILÂNDIA,Limão,10.43,23.69
CEILÂNDIA,Mandioca,16.23,9.48
CEILÂNDIA,Manga,5.92,3.63
CEILÂNDIA,Maracujá,7.96,20.18
CEILÂNDIA,Repolho,17.83,8.75
CEILÂNDIA,Tangerina,6.03,9.55
CEILÂNDIA,Tomate,3.22,3.47
GAMA,Abacate,6.98,20.49
GAMA,Alface,19.58,32.92
GAMA,Banana,5.59,15.58
GAMA,Couve,9.74,8.83
GAMA,Lichia,5.86,1.21
GAMA,Limão,12.17,27.56
GAMA,Mandioca,9.66,16.37
GAMA,Manga,13.1,6.94
GAMA,Maracujá,3.06,7.6
GAMA,Pimentão,2.24,3.26
GAMA,Pitaia,16.31,1.71
GAMA,Repolho,1.85,2.31
GAMA,Tangerina,9.07,10.7
JARDIM,Abacate,0.1,0.1
JARDIM,Banana,0.15,1.27
JARDIM,Berinjela,2.51,1.01
JARDIM,Beterraba,17.78,5.98
JARDIM,Cebola,18.52,38.05
JARDIM,Cenoura,35.6,17.16
JARDIM,Goiaba,0.07,0.84
JARDIM,Graviola,2.22,0.23
JARDIM,Limão,3.57,30.99
JARDIM,Mamão,0.72,0.09
JARDIM,Mandioca,1.65,2.09
JARDIM,Maracujá,17.54,44.73
JARDIM,Pimentão,3.23,3.83
JARDIM,Repolho,4.62,7.02
