id,nome,latitude,longitude,regioes,produtos_originais,produtos
1,AFECA - Assentamento 15 de Agosto,-15.911319,-47.721311,['São Sebastião'],"['Abóbora Japonesa', 'Abobrinha Italiana', 'Acelga', 'Alface Americana', 'Cebolinha Comum', 'Chuchu', 'Coentro', 'Couve-Flor', 'Couve Manteiga', 'Espinafre', 'Hortelã', 'Manjericão', 'Maracujá', 'Pepino Comum', 'Pimentão Verde', 'Repolho Verde', 'Repolho Roxo', 'Salsa', 'Tomate']","['Abóbora', 'Abóbora', 'Couve', 'Alface', 'Cebola', 'Chuchu', 'Couve', 'Brócolis', 'Couve', 'Couve', 'Agrião', 'Agrião', 'Maracujá', 'Pepino', 'Pimentão', 'Repolho', 'Repolho', 'Agrião', 'Tomate']"
2,AGRIFAM - Agricultura Familiar DF,-15.932992,-48.040909,"['Taguatinga', 'Gama', 'Santa Maria']","['Abacate', 'Abóbora Japonesa', 'Abobrinha Italiana', 'Acelga', 'Alface Americana', 'Alho', 'Batata Doce', 'Beterraba', 'Brócolis Cabeça Única (Japonês)', 'Cebola', 'Cebolinha Comum', 'Cenoura', 'Chuchu', 'Coentro', 'Couve-Flor', 'Couve Manteiga', 'Espinafre', 'Goiaba', 'Hortelã', 'Inhame', 'Limão Tahiti', 'Manjericão', 'Maracujá', 'Milho Verde', 'Pepino Comum', 'Pimentão Verde', 'Repolho Verde', 'Repolho Roxo', 'Salsa', 'Tangerina Ponkan', 'Tomate', 'Vagem', 'Banana Prata']","['Abacate', 'Abóbora', 'Abóbora', 'Couve', 'Alface', 'Cebola', 'Batata', 'Beterraba', 'Brócolis', 'Cebola', 'Cebola', 'Cenoura', 'Chuchu', 'Couve', 'Brócolis', 'Couve', 'Couve', 'Goiaba', 'Agrião', 'Batata', 'Limão', 'Agrião', 'Maracujá', 'Pepino', 'Pepino', 'Pimentão', 'Repolho', 'Repolho', 'Agrião', 'Tangerina', 'Tomate', 'Pepino', 'Banana']"
3,AMISTA - Agricultores Orgânicos,-15.782057,-47.470923,['Santa Maria'],"['Abacate', 'Abóbora Japonesa', 'Abobrinha Italiana', 'Batata Doce', 'Beterraba', 'Brócolis Cabeça Única (Japonês)', 'Cebolinha Comum', 'Cenoura', 'Chuchu', 'Coentro', 'Couve-Flor', 'Couve Manteiga', 'Inhame', 'Limão Tahiti', 'Maracujá', 'Pepino Comum', 'Pimentão Verde', 'Repolho Verde', 'Repolho Roxo', 'Salsa', 'Tomate', 'Vagem']","['Abacate', 'Abóbora', 'Abóbora', 'Batata', 'Beterraba', 'Brócolis', 'Cebola', 'Cenoura', 'Chuchu', 'Couve', 'Brócolis', 'Couve', 'Batata', 'Limão', 'Maracujá', 'Pepino', 'Pimentão', 'Repolho', 'Repolho', 'Agrião', 'Tomate', 'Pepino']"
4,ASPAF - Produtores da Agricultura Familiar,-15.940404,-47.737964,"['Guará', 'Núcleo Bandeirante', 'Plano Piloto']","['Goiaba', 'Morango', 'Tangerina Ponkan', 'Abacate', 'Abóbora Japonesa', 'Abobrinha Italiana', 'Acelga', 'Alface Americana', 'Batata Doce', 'Beterraba', 'Brócolis Cabeça Única (Japonês)', 'Cebola', 'Cebolinha Comum', 'Cenoura', 'Chuchu', 'Coentro', 'Couve-Flor', 'Couve Manteiga', 'Espinafre', 'Hortelã', 'Inhame', 'Limão Tahiti', 'Manjericão', 'Maracujá', 'Milho Verde', 'Pepino Comum', 'Pimentão Verde', 'Repolho Verde', 'Repolho Roxo', 'Salsa', 'Tomate', 'Vagem', 'Banana Prata']","['Goiaba', 'Morango', 'Tangerina', 'Abacate', 'Abóbora', 'Abóbora', 'Couve', 'Alface', 'Batata', 'Beterraba', 'Brócolis', 'Cebola', 'Cebola', 'Cenoura', 'Chuchu', 'Couve', 'Brócolis', 'Couve', 'Couve', 'Agrião', 'Batata', 'Limão', 'Agrião', 'Maracujá', 'Pepino', 'Pepino', 'Pimentão', 'Repolho', 'Repolho', 'Agrião', 'Tomate', 'Pepino', 'Banana']"
5,ASPAG - Alexandre Gusmão,-15.726869,-48.189019,"['Alexandre Gusmão', 'Brazlândia']","['Abacate', 'Abóbora Japonesa', 'Abobrinha Italiana', 'Acelga', 'Alface Americana', 'Batata Doce', 'Beterraba', 'Brócolis Cabeça Única (Japonês)', 'Cebolinha Comum', 'Cenoura', 'Chuchu', 'Coentro', 'Couve-Flor', 'Couve Manteiga', 'Espinafre', 'Goiaba', 'Hortelã', 'Inhame', 'Limão Tahiti', 'Manjericão', 'Maracujá', 'Milho Verde', 'Pepino Comum', 'Pimentão Verde', 'Repolho Verde', 'Repolho Roxo', 'Salsa', 'Tangerina Ponkan', 'Tomate', 'Vagem', 'Banana Prata']","['Abacate', 'Abóbora', 'Abóbora', 'Couve', 'Alface', 'Batata', 'Beterraba', 'Brócolis', 'Cebola', 'Cenoura', 'Chuchu', 'Couve', 'Brócolis', 'Couve', 'Couve', 'Goiaba', 'Agrião', 'Batata', 'Limão', 'Agrião', 'Maracujá', 'Pepino', 'Pepino', 'Pimentão', 'Repolho', 'Repolho', 'Agrião', 'Tangerina', 'Tomate', 'Pepino', 'Banana']"
6,ASPHOR - Hortigranjeiros DF,-15.791442,-47.948464,"['Plano Piloto', 'Gama', 'Santa Maria']","['Abacate', 'Abóbora Japonesa', 'Abobrinha Italiana', 'Acelga', 'Alface Americana', 'Batata Doce', 'Beterraba', 'Brócolis Cabeça Única (Japonês)', 'Cebola', 'Cebolinha Comum', 'Cenoura', 'Chuchu', 'Coentro', 'Couve-Flor', 'Couve Manteiga', 'Espinafre', 'Goiaba', 'Hortelã', 'Inhame', 'Limão Tahiti', 'Manjericão', 'Maracujá', 'Milho Verde', 'Morango', 'Pepino Comum', 'Pimentão Verde', 'Repolho Verde', 'Repolho Roxo', 'Salsa', 'Tomate', 'Vagem']","['Abacate', 'Abóbora', 'Abóbora', 'Couve', 'Alface', 'Batata', 'Beterraba', 'Brócolis', 'Cebola', 'Cebola', 'Cenoura', 'Chuchu', 'Couve', 'Brócolis', 'Couve', 'Couve', 'Goiaba', 'Agrião', 'Batata', 'Limão', 'Agrião', 'Maracujá', 'Pepino', 'Morango', 'Pepino', 'Pimentão', 'Repolho', 'Repolho', 'Agrião', 'Tomate', 'Pepino']"
7,ASPROC - Orgânicos e Convencionais,-15.777904,-48.120988,"['Ceilândia', 'Recanto das Emas', 'Samambaia', 'Paranoá', 'Planaltina']","['Goiaba', 'Tangerina Ponkan', 'Morango']","['Goiaba', 'Tangerina', 'Morango']"
8,ASPRONTE - Novo Horizonte,-15.60313,-48.113516,"['Brazlândia', 'Ceilândia', 'Recanto Das Emas']","['Morango', 'Abacate', 'Abobrinha Italiana', 'Acelga', 'Alface Americana', 'Batata Doce', 'Beterraba', 'Brócolis Cabeça Única (Japonês)', 'Cebolinha Comum', 'Cenoura', 'Chuchu', 'Coentro', 'Couve-Flor', 'Couve Manteiga', 'Espinafre', 'Goiaba', 'Hortelã', 'Pepino Comum', 'Pimentão Verde', 'Repolho Verde', 'Salsa', 'Tomate', 'Vagem']","['Morango', 'Abacate', 'Abóbora', 'Couve', 'Alface', 'Batata', 'Beterraba', 'Brócolis', 'Cebola', 'Cenoura', 'Chuchu', 'Couve', 'Brócolis', 'Couve', 'Couve', 'Goiaba', 'Agrião', 'Pepino', 'Pimentão', 'Repolho', 'Agrião', 'Tomate', 'Pepino']"
9,ASTRAF - Assentamento Chapadinha,-15.542238,-48.029995,"['PAD-DF', 'Planaltina']","['Abacate', 'Abóbora Japonesa', 'Abobrinha Italiana', 'Acelga', 'Alface Americana', 'Alho', 'Batata Doce', 'Beterraba', 'Brócolis Cabeça Única (Japonês)', 'Cebola', 'Cebolinha Comum', 'Cenoura', 'Chuchu', 'Coentro', 'Couve-Flor', 'Couve Manteiga', 'Espinafre', 'Hortelã', 'Inhame', 'Limão Tahiti', 'Manjericão', 'Maracujá', 'Milho Verde', 'Pepino Comum', 'Pimentão Verde', 'Repolho Verde', 'Repolho Roxo', 'Salsa', 'Tomate', 'Vagem', 'Banana Prata']","['Abacate', 'Abóbora', 'Abóbora', 'Couve', 'Alface', 'Cebola', 'Batata', 'Beterraba', 'Brócolis', 'Cebola', 'Cebola', 'Cenoura', 'Chuchu', 'Couve', 'Brócolis', 'Couve', 'Couve', 'Agrião', 'Batata', 'Limão', 'Agrião', 'Maracujá', 'Pepino', 'Pepino', 'Pimentão', 'Repolho', 'Repolho', 'Agrião', 'Tomate', 'Pepino', 'Banana']"
10,COOPBRASIL - Agricultura Familiar,-15.918585,-48.082794,"['Recanto das Emas', 'Gama', 'Samambaia', 'Núcleo Bandeirante', 'Planaltina', 'Brazlândia', 'Ceilândia']","['Alho', 'Abóbora Japonesa', 'Cebola', 'Inhame', 'Limão Tahiti', 'Manjericão', 'Maracujá', 'Milho Verde', 'Repolho Roxo', 'Banana Prata', 'Abacate', 'Abobrinha Italiana', 'Acelga', 'Alface Americana', 'Batata Doce', 'Beterraba', 'Brócolis Cabeça Única (Japonês)', 'Cebolinha Comum', 'Cenoura', 'Chuchu', 'Coentro', 'Couve-Flor', 'Couve Manteiga', 'Espinafre', 'Goiaba', 'Hortelã', 'Pepino Comum', 'Pimentão Verde', 'Repolho Verde', 'Salsa', 'Tomate', 'Vagem', 'Morango']","['Cebola', 'Abóbora', 'Cebola', 'Batata', 'Limão', 'Agrião', 'Maracujá', 'Pepino', 'Repolho', 'Banana', 'Abacate', 'Abóbora', 'Couve', 'Alface', 'Batata', 'Beterraba', 'Brócolis', 'Cebola', 'Cenoura', 'Chuchu', 'Couve', 'Brócolis', 'Couve', 'Couve', 'Goiaba', 'Agrião', 'Pepino', 'Pimentão', 'Repolho', 'Agrião', 'Tomate', 'Pepino', 'Morango']"
