produto_original,produto_escopo
Abóbora Japonesa,Abóbora
Abobrinha Italiana,Abóbora
Acelga,Couve
Alface Americana,Alface
Cebolinha Comum,Cebola
Coentro,Couve
Couve-Flor,Brócolis
Couve Manteiga,Couve
Espinafre,Couve
Hortelã,Agrião
Manjericão,Agrião
Pepino Comum,Pepino
Pimentão Verde,Pimentão
Repolho Verde,Repolho
Repolho Roxo,Repolho
Salsa,Agrião
Batata Doce,Batata
Brócolis Cabeça Única (Japonês),Brócolis
Inhame,Batata
Limão Tahiti,Limão
Milho Verde,Pepino
Tangerina Ponkan,Tangerina
Vagem,Pepino
Banana Prata,Banana
Alho,Cebola
