regiao,produto,area_ha,producao_t,participacao_df
ALEXANDRE GUSMÃO,Abacate,23.08,18.0,23.08
ALEXANDRE GUSMÃO,Alface,24.25,9.51,24.25
ALEXANDRE GUSMÃO,Banana,9.5,6.83,9.5
ALEXANDRE GUSMÃO,Chuchu,32.99,14.52,32.99
ALEXANDRE GUSMÃO,Couve,35.66,9.39,35.66
ALEXANDRE GUSMÃO,Goiaba,42.2,38.56,42.2
ALEXANDRE GUSMÃO,Limão,13.15,12.04,13.15
ALEXANDRE GUSMÃO,Mandioca,18.29,6.17,18.29
ALEXANDRE GUSMÃO,Manga,13.67,1.66,13.67
ALEXANDRE GUSMÃO,Maracujá,12.19,10.26,12.19
ALEXANDRE GUSMÃO,Pimentão,14.73,4.13,14.73
ALEXANDRE GUSMÃO,Repolho,24.68,8.87,24.68
ALEXANDRE GUSMÃO,Tangerina,21.44,6.96,21.44
ALEXANDRE GUSMÃO,Tomate,14.62,11.67,14.62
ALEXANDRE GUSMÃO,Uva,4.16,0.77,4.16
BRAZLÂNDIA,Abacate,19.45,18.6,19.45
BRAZLÂNDIA,Alface,8.87,5.95,8.87
BRAZLÂNDIA,Banana,4.35,3.61,4.35
BRAZLÂNDIA,Chuchu,27.72,13.09,27.72
BRAZLÂNDIA,Couve,9.43,3.24,9.43
BRAZLÂNDIA,Goiaba,53.62,57.58,53.62
BRAZLÂNDIA,Limão,9.3,9.48,9.3
BRAZLÂNDIA,Mandioca,6.88,4.08,6.88
BRAZLÂNDIA,Manga,4.4,0.6,4.4
BRAZLÂNDIA,Maracujá,3.94,1.38,3.94
BRAZLÂNDIA,Morango,76.51,17.36,76.51
BRAZLÂNDIA,Pimentão,15.89,6.18,15.89
BRAZLÂNDIA,Repolho,23.53,10.6,23.53
BRAZLÂNDIA,Tangerina,11.42,5.63,11.42
BRAZLÂNDIA,Tomate,8.66,10.33,8.66
BRAZLÂNDIA,Uva,3.29,0.24,3.29
CEILÂNDIA,Abacate,3.61,9.77,3.61
CEILÂNDIA,Alface,24.1,12.04,24.1
CEILÂNDIA,Banana,12.33,29.03,12.33
CEILÂNDIA,Chuchu,29.16,17.64,29.16
CEILÂNDIA,Couve,22.59,7.41,22.59
CEILÂNDIA,Goiaba,0.37,1.44,0.37
CEILÂNDIA,Limão,10.43,23.69,10.43
CEILÂNDIA,Mandioca,16.23,9.48,16.23
CEILÂNDIA,Manga,5.92,3.63,5.92
CEILÂNDIA,Maracujá,7.96,20.18,7.96
CEILÂNDIA,Repolho,17.83,8.75,17.83
CEILÂNDIA,Tangerina,6.03,9.55,6.03
CEILÂNDIA,Tomate,3.22,3.47,3.22
GAMA,Abacate,6.98,20.49,6.98
GAMA,Alface,19.58,32.92,19.58
GAMA,Banana,5.59,15.58,5.59
GAMA,Couve,9.74,8.83,9.74
GAMA,Lichia,5.86,1.21,5.86
